# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe1
# Reduced formula:  Fe
# space group: (Fm-3m), space number:  (225)
# abc:  2.584865   2.584866   2.584864
# angles: 59.999990  59.999984  60.000004
# sites: 1
# mp-150
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.375 Rnm= 1.413 K  shell
# Pot 1 Z=26 Rmt= 1.384 Rnm= 1.423
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.168E+01 kf=2.002E+00 Vint=-2.695E+01 Rs_int= 1.812
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5849
#           2       0.00000     23.03      6.00     2   3.6555
#           3       0.00000     11.47     48.00     3   3.8773
#           4       0.00000     10.90     48.00     3   4.4126
#           5       0.00000     55.69     24.00     2   4.4771
#           6       0.00000     11.17     48.00     3   4.8234
#           7       0.00000     28.74     96.00     3   4.8234
#           8       0.00000     19.08     12.00     2   5.1697
#           9       0.00000      8.94     12.00     3   5.1697
#          10       0.00000     51.71     24.00     3   5.1697
#          11       0.00000     10.69     12.00     4   5.1697
#          12       0.00000      4.14     12.00     4   5.1697
#          14       0.00000     41.76     12.00     4   5.1697
#          15       0.00000      4.91     48.00     4   5.1697
#          17       0.00000      5.31     48.00     3   5.3588
#          18       0.00000      5.39     48.00     3   5.3588
#          19       0.00000      6.42     48.00     3   5.7696
#          20       0.00000     28.16     24.00     2   5.7799
#    18/  20 paths used
#  xsedge+50, used to normalize mu           3.2081E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7152.903     20.358   2.900  1.03976E+00  9.85796E-01  5.47699E-02
    7154.017     21.472   2.950  1.06648E+00  9.87258E-01  8.02663E-02
    7155.151     22.606   3.000  1.08873E+00  9.88719E-01  1.01149E-01
    7156.303     23.758   3.050  1.10506E+00  9.88993E-01  1.17223E-01
    7157.475     24.930   3.100  1.11537E+00  9.89267E-01  1.27185E-01
    7158.665     26.121   3.150  1.11874E+00  9.89541E-01  1.30124E-01
    7159.875     27.330   3.200  1.11474E+00  9.89814E-01  1.25638E-01
    7161.104     28.559   3.250  1.10500E+00  9.90038E-01  1.15539E-01
    7162.351     29.807   3.300  1.08822E+00  9.90262E-01  9.83831E-02
    7163.618     31.074   3.350  1.06518E+00  9.90485E-01  7.49657E-02
    7164.904     32.359   3.400  1.03719E+00  9.90709E-01  4.66171E-02
    7166.209     33.664   3.450  1.00513E+00  9.90569E-01  1.45978E-02
    7167.533     34.988   3.500  9.71455E-01  9.90428E-01 -1.90027E-02
    7168.876     36.331   3.550  9.38502E-01  9.90288E-01 -5.18317E-02
    7170.238     37.693   3.600  9.08552E-01  9.90147E-01 -8.16115E-02
    7171.619     39.075   3.650  8.82679E-01  9.90084E-01 -1.07378E-01
    7173.019     40.475   3.700  8.64015E-01  9.90020E-01 -1.25919E-01
    7174.439     41.894   3.750  8.53167E-01  9.89957E-01 -1.36636E-01
    7175.877     43.332   3.800  8.50112E-01  9.89893E-01 -1.39563E-01
    7177.334     44.790   3.850  8.56107E-01  9.89846E-01 -1.33465E-01
    7178.811     46.266   3.900  8.68577E-01  9.89798E-01 -1.20914E-01
    7180.306     47.761   3.950  8.84883E-01  9.89751E-01 -1.04552E-01
    7181.820     49.276   4.000  9.02513E-01  9.89704E-01 -8.68858E-02
    7183.354     50.809   4.050  9.21062E-01  9.89784E-01 -6.84499E-02
    7184.907     52.362   4.100  9.36817E-01  9.89864E-01 -5.28131E-02
    7186.478     53.933   4.150  9.48941E-01  9.89945E-01 -4.08039E-02
    7188.069     55.524   4.200  9.57870E-01  9.90025E-01 -3.19838E-02
    7189.679     57.134   4.250  9.65151E-01  9.90183E-01 -2.48896E-02
    7191.307     58.763   4.300  9.72476E-01  9.90342E-01 -1.77565E-02
    7192.955     60.410   4.350  9.82538E-01  9.90500E-01 -7.91037E-03
    7194.622     62.077   4.400  9.97681E-01  9.90658E-01  6.97509E-03
    7196.308     63.763   4.450  1.01904E+00  9.90920E-01  2.79228E-02
    7198.013     65.468   4.500  1.04691E+00  9.91183E-01  5.53169E-02
    7199.737     67.192   4.550  1.07974E+00  9.91445E-01  8.76252E-02
    7201.480     68.935   4.600  1.11444E+00  9.91707E-01  1.21773E-01
