PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.5296
    0.730239   -4.130860   -1.264810   1 'Cu    '     4.3814  144.7356    0.0000
   -0.730240   -2.065430    1.264810   1 'Cu    '     3.5774   89.9999    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296  125.2645    0.0000
    17    2  24.000  index, nleg, degeneracy, r=  5.6564
      x           y           z     ipot  label      rleg      beta        eta
   -2.920960    4.130860    2.529620   1 'Cu    '     5.6564  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     5.6564  180.0000    0.0000
    18    3  48.000  index, nleg, degeneracy, r=  5.8817
      x           y           z     ipot  label      rleg      beta        eta
   -1.460480    2.065430   -2.529620   1 'Cu    '     3.5774  161.5650    0.0000
    0.000000    0.000000    2.529620   1 'Cu    '     5.6564  153.4349    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296   45.0001    0.0000
    19    3  48.000  index, nleg, degeneracy, r=  5.8817
      x           y           z     ipot  label      rleg      beta        eta
   -5.111680   -2.065430    1.264810   1 'Cu    '     5.6564  161.5651    0.0000
   -2.190720    0.000000    1.264810   1 'Cu    '     3.5774   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296  153.4350    0.0000
    20    3  48.000  index, nleg, degeneracy, r=  5.8817
      x           y           z     ipot  label      rleg      beta        eta
   -3.651200   -4.130860    1.264810   1 'Cu    '     5.6564  153.4350    0.0000
   -2.920960   -2.065430   -0.000000   1 'Cu    '     2.5296   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     3.5774  161.5651    0.0000
    21    3  96.000  index, nleg, degeneracy, r=  5.9851
      x           y           z     ipot  label      rleg      beta        eta
   -1.460480   -4.130860   -2.529620   1 'Cu    '     5.0592  150.0000    0.0000
   -0.730240   -2.065430    1.264810   1 'Cu    '     4.3814   89.9999    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296  120.0001    0.0000
    22    3  96.000  index, nleg, degeneracy, r=  5.9851
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    5.059250   1 'Cu    '     5.0592  119.9999    0.0000
   -0.730240   -2.065430    3.794440   1 'Cu    '     2.5296   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.3814  150.0000    0.0000
    23    4  96.000  index, nleg, degeneracy, r=  5.9851
      x           y           z     ipot  label      rleg      beta        eta
   -2.920960   -2.065430   -2.529620   1 'Cu    '     4.3814   90.0000    0.0000
   -4.381440    0.000000   -2.529620   1 'Cu    '     2.5296  120.0000    0.0000
   -2.190720    0.000000   -1.264810   1 'Cu    '     2.5296    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296  150.0000    0.0000
    24    4  96.000  index, nleg, degeneracy, r=  5.9851
      x           y           z     ipot  label      rleg      beta        eta
   -2.190720    0.000000   -1.264810   1 'Cu    '     2.5296    0.0000    0.0000
   -4.381440    0.000000   -2.529620   1 'Cu    '     2.5296  150.0000    0.0000
   -0.730240   -2.065430   -1.264810   1 'Cu    '     4.3814   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5296  120.0000    0.0000
