 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Cu1
 Reduced formula:  Cu
 space group: (Fm-3m), space number:  (225)
 abc:  2.529625   2.529626   2.529625
 angles: 60.000012  60.000004  60.000003
 sites: 1
 mp-30
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.435 Rnm= 1.488 K  shell
 Pot 1 Z=29 Rmt= 1.342 Rnm= 1.379
 Gam_ch=1.729E+00 H-L exch
 Mu=-4.000E+00 kf=1.839E+00 Vint=-1.688E+01 Rs_int= 1.973
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    7      icalc       2
 -----------------------------------------------------------------------
   3  96.000   4.7203    2.6084   -4.00020 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -0.7302    4.1309   -1.2648  1  29 Cu
    -1.4605    2.0654   -0.0000  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.8918E+00  6.2651E-05 -2.1779E+00  9.898E-01  1.6213E+01  1.8397E+00
  0.100  3.8922E+00  3.0340E-02 -3.0868E+00  9.900E-01  1.6236E+01  1.8423E+00
  0.200  3.8934E+00  5.8334E-02 -3.9329E+00  9.906E-01  1.6303E+01  1.8501E+00
  0.300  3.8952E+00  8.2089E-02 -4.7187E+00  9.917E-01  1.6408E+01  1.8630E+00
  0.400  3.8974E+00  1.0050E-01 -5.4502E+00  9.931E-01  1.6541E+01  1.8810E+00
  0.500  3.8996E+00  1.1334E-01 -6.1342E+00  9.949E-01  1.6691E+01  1.9038E+00
  0.600  3.9014E+00  1.2114E-01 -6.7767E+00  9.971E-01  1.6841E+01  1.9315E+00
  0.700  3.9023E+00  1.2487E-01 -7.3826E+00  9.996E-01  1.6974E+01  1.9637E+00
  0.800  3.9019E+00  1.2560E-01 -7.9554E+00  1.002E+00  1.7072E+01  2.0003E+00
  0.900  3.8997E+00  1.2433E-01 -8.4972E+00  1.006E+00  1.7118E+01  2.0411E+00
  1.000  3.8950E+00  1.2182E-01 -9.0091E+00  1.009E+00  1.7097E+01  2.0860E+00
  1.100  3.8873E+00  1.1863E-01 -9.4915E+00  1.013E+00  1.6999E+01  2.1348E+00
  1.200  3.8763E+00  1.1512E-01 -9.9446E+00  1.018E+00  1.6818E+01  2.1874E+00
  1.300  3.8612E+00  1.1150E-01 -1.0368E+01  1.023E+00  1.6556E+01  2.2438E+00
  1.400  3.8417E+00  1.0787E-01 -1.0761E+01  1.028E+00  1.6222E+01  2.3037E+00
  1.500  3.8173E+00  1.0429E-01 -1.1124E+01  1.034E+00  1.5830E+01  2.3673E+00
  1.600  3.7875E+00  1.0076E-01 -1.1455E+01  1.040E+00  1.5398E+01  2.4344E+00
  1.700  3.7518E+00  9.7248E-02 -1.1754E+01  1.046E+00  1.4949E+01  2.5052E+00
  1.800  3.7099E+00  9.3723E-02 -1.2019E+01  1.053E+00  1.4507E+01  2.5797E+00
  1.900  3.6611E+00  9.0135E-02 -1.2251E+01  1.059E+00  1.4097E+01  2.6580E+00
  2.000  3.6049E+00  8.6422E-02 -1.2446E+01  1.065E+00  1.3747E+01  2.7403E+00
  2.200  3.4460E+00  7.7438E-02 -1.2684E+01  1.068E+00  1.3335E+01  2.9282E+00
  2.400  3.3111E+00  8.2230E-02 -1.2867E+01  1.228E+00  7.4014E+00  3.1090E+00
  2.600  3.2982E+00  6.9197E-02 -1.3404E+01  1.284E+00  6.2224E+00  3.2410E+00
  2.800  3.2657E+00  5.5197E-02 -1.3872E+01  1.306E+00  5.6954E+00  3.3783E+00
  3.000  3.2110E+00  4.2261E-02 -1.4250E+01  1.304E+00  5.4696E+00  3.5246E+00
  3.200  3.1436E+00  2.9883E-02 -1.4558E+01  1.294E+00  5.3973E+00  3.6770E+00
  3.400  3.0681E+00  1.9108E-02 -1.4743E+01  1.273E+00  5.4176E+00  3.8348E+00
  3.600  2.9859E+00  9.7545E-03 -1.4681E+01  1.252E+00  5.5001E+00  3.9976E+00
  3.800  2.9001E+00  5.8721E-03 -1.3734E+01  1.230E+00  5.6279E+00  4.1646E+00
  4.000  2.8107E+00  1.1407E-02 -1.3107E+01  1.208E+00  5.7904E+00  4.3353E+00
  4.200  2.7182E+00  1.8641E-02 -1.3067E+01  1.188E+00  5.9808E+00  4.5093E+00
  4.400  2.6245E+00  2.5723E-02 -1.3144E+01  1.169E+00  6.1944E+00  4.6862E+00
  4.600  2.5288E+00  3.2810E-02 -1.3257E+01  1.151E+00  6.4278E+00  4.8656E+00
  4.800  2.4315E+00  3.9150E-02 -1.3375E+01  1.134E+00  6.6784E+00  5.0471E+00
  5.000  2.3327E+00  4.5246E-02 -1.3500E+01  1.119E+00  6.9444E+00  5.2306E+00
  5.200  2.2325E+00  5.1059E-02 -1.3627E+01  1.105E+00  7.2242E+00  5.4157E+00
  5.400  2.1318E+00  5.5923E-02 -1.3747E+01  1.090E+00  7.5167E+00  5.6023E+00
  5.600  2.0307E+00  6.0252E-02 -1.3865E+01  1.078E+00  7.8208E+00  5.7901E+00
  5.800  1.9301E+00  6.3749E-02 -1.3979E+01  1.066E+00  8.1357E+00  5.9791E+00
  6.000  1.8310E+00  6.6337E-02 -1.4088E+01  1.054E+00  8.4608E+00  6.1691E+00
  6.500  1.5916E+00  6.8709E-02 -1.4349E+01  1.028E+00  9.3146E+00  6.6477E+00
  7.000  1.3664E+00  6.5767E-02 -1.4594E+01  1.009E+00  1.0222E+01  7.1305E+00
  7.500  1.1521E+00  5.8726E-02 -1.4825E+01  9.952E-01  1.1177E+01  7.6164E+00
  8.000  9.4287E-01  4.8872E-02 -1.5027E+01  9.842E-01  1.2178E+01  8.1047E+00
  8.500  7.4108E-01  3.8472E-02 -1.5195E+01  9.747E-01  1.3220E+01  8.5948E+00
  9.000  5.4915E-01  2.8038E-02 -1.5299E+01  9.662E-01  1.4301E+01  9.0865E+00
  9.500  3.6854E-01  1.9258E-02 -1.5274E+01  9.583E-01  1.5421E+01  9.5794E+00
 10.000  1.9673E-01  1.3834E-02 -1.5026E+01  9.502E-01  1.6576E+01  1.0073E+01
 11.000 -1.3601E-01  1.6269E-02 -1.4482E+01  9.364E-01  1.8989E+01  1.1063E+01
 12.000 -4.4804E-01  2.2304E-02 -1.4601E+01  9.271E-01  2.1532E+01  1.2055E+01
 13.000 -7.3308E-01  2.4607E-02 -1.4907E+01  9.227E-01  2.4196E+01  1.3049E+01
