# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529626   2.529625
# angles: 60.000012  60.000004  60.000003
# sites: 1
# mp-30
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.435 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.342 Rnm= 1.379
# Gam_ch=1.729E+00 H-L exch
# Mu=-4.000E+00 kf=1.839E+00 Vint=-1.688E+01 Rs_int= 1.973
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.06      6.00     2   3.5774
#           3       0.00000     12.69     48.00     3   3.7944
#           4       0.00000      9.83     48.00     3   4.3183
#           5       0.00000     56.07     24.00     2   4.3814
#           6       0.00000     11.91     48.00     3   4.7203
#           7       0.00000     26.77     96.00     3   4.7203
#           8       0.00000     19.28     12.00     2   5.0593
#           9       0.00000      9.77     12.00     3   5.0592
#          10       0.00000     45.36     24.00     3   5.0592
#          11       0.00000      9.59     12.00     4   5.0593
#          12       0.00000      4.53     12.00     4   5.0592
#          14       0.00000     32.91     12.00     4   5.0593
#          16       0.00000      4.84     48.00     3   5.2442
#          17       0.00000     28.47     24.00     2   5.6564
#          18       0.00000      9.97     48.00     3   5.8817
#          19       0.00000      8.16     48.00     3   5.8817
#          20       0.00000      8.90     48.00     3   5.8817
#          21       0.00000      5.97     96.00     3   5.9852
#          22       0.00000      5.99     96.00     3   5.9852
#          23       0.00000      6.05     96.00     4   5.9852
#          24       0.00000      6.51     96.00     4   5.9852
#    22/  23 paths used
#  xsedge+50, used to normalize mu           2.4719E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9018.402     25.870   2.800  8.72731E-01  9.77428E-01 -1.08632E-01
    9019.479     26.946   2.850  8.95099E-01  9.78349E-01 -8.61854E-02
    9020.574     28.042   2.900  9.23269E-01  9.79269E-01 -5.78466E-02
    9021.689     29.156   2.950  9.54022E-01  9.80190E-01 -2.69704E-02
    9022.822     30.290   3.000  9.84050E-01  9.81110E-01  3.02289E-03
    9023.975     31.442   3.050  1.01333E+00  9.82294E-01  3.18518E-02
    9025.146     32.614   3.100  1.03785E+00  9.83479E-01  5.56793E-02
    9026.337     33.804   3.150  1.05546E+00  9.84663E-01  7.23369E-02
    9027.546     35.014   3.200  1.06492E+00  9.85847E-01  8.06229E-02
    9028.775     36.243   3.250  1.06960E+00  9.86916E-01  8.41039E-02
    9030.023     37.491   3.300  1.06631E+00  9.87985E-01  7.94768E-02
    9031.290     38.757   3.350  1.05564E+00  9.89054E-01  6.74069E-02
    9032.576     40.043   3.400  1.03876E+00  9.90123E-01  4.91171E-02
    9033.881     41.348   3.450  1.01901E+00  9.91373E-01  2.78467E-02
    9035.204     42.672   3.500  9.96296E-01  9.92624E-01  3.69231E-03
    9036.548     44.015   3.550  9.72811E-01  9.93874E-01 -2.11282E-02
    9037.910     45.377   3.600  9.50746E-01  9.95124E-01 -4.44167E-02
    9039.291     46.758   3.650  9.32101E-01  9.96319E-01 -6.41477E-02
    9040.691     48.158   3.700  9.18972E-01  9.97514E-01 -7.83014E-02
    9042.110     49.578   3.750  9.12525E-01  9.98709E-01 -8.57524E-02
    9043.548     51.016   3.800  9.12911E-01  9.99904E-01 -8.63881E-02
    9045.006     52.473   3.850  9.19730E-01  1.00100E+00 -8.05705E-02
    9046.482     53.950   3.900  9.32285E-01  1.00210E+00 -6.90957E-02
    9047.977     55.445   3.950  9.48320E-01  1.00319E+00 -5.42203E-02
    9049.492     56.960   4.000  9.65142E-01  1.00429E+00 -3.86172E-02
    9051.025     58.493   4.050  9.81078E-01  1.00505E+00 -2.36161E-02
    9052.578     60.046   4.100  9.93527E-01  1.00580E+00 -1.20807E-02
    9054.150     61.617   4.150  1.00126E+00  1.00656E+00 -5.20423E-03
    9055.740     63.208   4.200  1.00433E+00  1.00731E+00 -2.92516E-03
    9057.350     64.818   4.250  1.00422E+00  1.00783E+00 -3.54173E-03
    9058.979     66.446   4.300  1.00277E+00  1.00835E+00 -5.48140E-03
    9060.627     68.094   4.350  1.00276E+00  1.00887E+00 -5.99844E-03
    9062.293     69.761   4.400  1.00692E+00  1.00940E+00 -2.42134E-03
    9063.979     71.447   4.450  1.01636E+00  1.00954E+00  6.68372E-03
    9065.684     73.152   4.500  1.03213E+00  1.00968E+00  2.19860E-02
    9067.408     74.876   4.550  1.05334E+00  1.00983E+00  4.26123E-02
    9069.151     76.619   4.600  1.07761E+00  1.00997E+00  6.62336E-02
    9070.914     78.381   4.650  1.10025E+00  1.00965E+00  8.87376E-02
    9072.695     80.162   4.700  1.11863E+00  1.00933E+00  1.07081E-01
    9074.495     81.963   4.750  1.12952E+00  1.00901E+00  1.18080E-01
    9076.314     83.782   4.800  1.13073E+00  1.00868E+00  1.19608E-01
    9078.153     85.620   4.850  1.12146E+00  1.00825E+00  1.11020E-01
    9080.010     87.477   4.900  1.10330E+00  1.00781E+00  9.36940E-02
    9081.886     89.354   4.950  1.07854E+00  1.00737E+00  6.98690E-02
    9083.782     91.249   5.000  1.05021E+00  1.00694E+00  4.25053E-02
    9085.696     93.164   5.050  1.02144E+00  1.00630E+00  1.48836E-02
    9087.630     95.097   5.100  9.94624E-01  1.00566E+00 -1.08581E-02
    9089.582     97.050   5.150  9.71142E-01  1.00503E+00 -3.33522E-02
    9091.554     99.022   5.200  9.51336E-01  1.00439E+00 -5.22549E-02
    9093.545    101.012   5.250  9.34375E-01  1.00355E+00 -6.81762E-02
    9095.555    103.022   5.300  9.19651E-01  1.00272E+00 -8.19097E-02
    9097.583    105.051   5.350  9.06547E-01  1.00188E+00 -9.40605E-02
    9099.631    107.099   5.400  8.95027E-01  1.00105E+00 -1.04662E-01
    9101.698    109.166   5.450  8.86022E-01  1.00040E+00 -1.12970E-01
    9103.784    111.252   5.500  8.80775E-01  9.99748E-01 -1.17575E-01
    9105.889    113.357   5.550  8.80812E-01  9.99099E-01 -1.16959E-01
    9108.013    115.481   5.600  8.87302E-01  9.98449E-01 -1.09959E-01
    9110.156    117.624   5.650  9.01051E-01  9.97920E-01 -9.58682E-02
    9112.319    119.786   5.700  9.20774E-01  9.97390E-01 -7.58524E-02
    9114.500    121.967   5.750  9.44543E-01  9.96860E-01 -5.18158E-02
    9116.700    124.168   5.800  9.69778E-01  9.96331E-01 -2.63076E-02
    9118.919    126.387   5.850  9.93976E-01  9.95858E-01 -1.86467E-03
    9121.158    128.625   5.900  1.01497E+00  9.95384E-01  1.94174E-02
    9123.415    130.883   5.950  1.03211E+00  9.94911E-01  3.68795E-02
    9125.692    133.159   6.000  1.04614E+00  9.94438E-01  5.12660E-02
    9127.987    135.455   6.050  1.05921E+00  9.94207E-01  6.44629E-02
    9130.302    137.769   6.100  1.07351E+00  9.93976E-01  7.88904E-02
    9132.635    140.103   6.150  1.09097E+00  9.93745E-01  9.64441E-02
    9134.988    142.456   6.200  1.11205E+00  9.93514E-01  1.17594E-01
    9137.360    144.827   6.250  1.13517E+00  9.93283E-01  1.40772E-01
    9139.750    147.218   6.300  1.15658E+00  9.93052E-01  1.62266E-01
    9142.160    149.628   6.350  1.17092E+00  9.92821E-01  1.76742E-01
    9144.589    152.057   6.400  1.17224E+00  9.92590E-01  1.78307E-01
    9147.037    154.505   6.450  1.15550E+00  9.92359E-01  1.61940E-01
    9149.504    156.972   6.500  1.11799E+00  9.92128E-01  1.24941E-01
    9151.990    159.458   6.550  1.05936E+00  9.91848E-01  6.70443E-02
    9154.495    161.963   6.600  9.85778E-01  9.91568E-01 -5.75226E-03
    9157.019    164.487   6.650  9.06007E-01  9.91288E-01 -8.47631E-02
    9159.562    167.030   6.700  8.31047E-01  9.91009E-01 -1.59054E-01
    9162.125    169.592   6.750  7.72178E-01  9.90729E-01 -2.17400E-01
    9164.706    172.173   6.800  7.38758E-01  9.90449E-01 -2.50467E-01
    9167.306    174.774   6.850  7.36267E-01  9.90170E-01 -2.52771E-01
    9169.925    177.393   6.900  7.65033E-01  9.89890E-01 -2.23946E-01
