     4.0500   -2.361605E-02  6.097281E-02  1.216865E+01
     4.1000   -1.208065E-02  5.360678E-02  1.233906E+01
     4.1500   -5.204228E-03  4.664913E-02  1.245458E+01
     4.2000   -2.925164E-03  4.135916E-02  1.249559E+01
     4.2500   -3.541732E-03  3.862270E-02  1.247454E+01
     4.3000   -5.481398E-03  4.027475E-02  1.242985E+01
     4.3500   -5.998440E-03  4.625526E-02  1.243632E+01
     4.4000   -2.421336E-03  5.527320E-02  1.252255E+01
     4.4500    6.683715E-03  6.528940E-02  1.266892E+01
     4.5000    2.198600E-02  7.597621E-02  1.285995E+01
     4.5500    4.261227E-02  8.662398E-02  1.308067E+01
     4.6000    6.623360E-02  9.670858E-02  1.332081E+01
     4.6500    8.873760E-02  1.051714E-01  1.357059E+01
     4.7000    1.070815E-01  1.124120E-01  1.382798E+01
     4.7500    1.180804E-01  1.182146E-01  1.408951E+01
     4.8000    1.196081E-01  1.224329E-01  1.435240E+01
     4.8500    1.110199E-01  1.247323E-01  1.461047E+01
     4.9000    9.369398E-02  1.255047E-01  1.486512E+01
     4.9500    6.986899E-02  1.248616E-01  1.511409E+01
     5.0000    4.250528E-02  1.230026E-01  1.535512E+01
     5.0500    1.488356E-02  1.201986E-01  1.558382E+01
     5.1000   -1.085809E-02  1.169846E-01  1.580091E+01
     5.1500   -3.335219E-02  1.138056E-01  1.600539E+01
     5.2000   -5.225493E-02  1.111329E-01  1.619748E+01
     5.2500   -6.817624E-02  1.094207E-01  1.638062E+01
     5.3000   -8.190968E-02  1.089576E-01  1.655869E+01
     5.3500   -9.406047E-02  1.098036E-01  1.673665E+01
     5.4000   -1.046617E-01  1.118106E-01  1.691923E+01
     5.4500   -1.129702E-01  1.145683E-01  1.711154E+01
     5.5000   -1.175749E-01  1.176457E-01  1.731344E+01
     5.5500   -1.169591E-01  1.205777E-01  1.752437E+01
     5.6000   -1.099585E-01  1.229424E-01  1.774249E+01
     5.6500   -9.586823E-02  1.240982E-01  1.796676E+01
     5.7000   -7.585242E-02  1.240969E-01  1.819194E+01
     5.7500   -5.181580E-02  1.228798E-01  1.841426E+01
     5.8000   -2.630760E-02  1.205544E-01  1.862956E+01
     5.8500   -1.864670E-03  1.171475E-01  1.883364E+01
     5.9000    1.941740E-02  1.135227E-01  1.902145E+01
     5.9500    3.687947E-02  1.104755E-01  1.918991E+01
     6.0000    5.126595E-02  1.089906E-01  1.933927E+01
     6.0500    6.446286E-02  1.099181E-01  1.947624E+01
     6.1000    7.889036E-02  1.142423E-01  1.961181E+01
     6.1500    9.644410E-02  1.221810E-01  1.975931E+01
     6.2000    1.175945E-01  1.334050E-01  1.992855E+01
     6.2500    1.407719E-01  1.472118E-01  2.012347E+01
     6.3000    1.622664E-01  1.627490E-01  2.034333E+01
     6.3500    1.767417E-01  1.791657E-01  2.058503E+01
     6.4000    1.783068E-01  1.956800E-01  2.084492E+01
     6.4500    1.619396E-01  2.115973E-01  2.111961E+01
     6.5000    1.249410E-01  2.263084E-01  2.140629E+01
     6.5500    6.704427E-02  2.385933E-01  2.170631E+01
     6.6000   -5.752262E-03  2.485407E-01  2.201429E+01
     6.6500   -8.476312E-02  2.557976E-01  2.232890E+01
     6.7000   -1.590545E-01  2.600874E-01  2.264916E+01
     6.7500   -2.173996E-01  2.612082E-01  2.297437E+01
     6.8000   -2.504669E-01  2.590321E-01  2.330407E+01
     6.8500   -2.527707E-01  2.535040E-01  2.363803E+01
     6.9000   -2.239458E-01  2.446411E-01  2.397623E+01
     6.9500   -1.690334E-01  2.325316E-01  2.431891E+01
     7.0000   -9.767004E-02  2.173347E-01  2.466665E+01
     7.0500   -2.191584E-02  1.987055E-01  2.502222E+01
     7.1000    4.439811E-02  1.775917E-01  2.538542E+01
     7.1500    9.056104E-02  1.544041E-01  2.575950E+01
     7.2000    1.103287E-01  1.296534E-01  2.615054E+01
     7.2500    1.031046E-01  1.040182E-01  2.657090E+01
     7.3000    7.392990E-02  7.855859E-02  2.704852E+01
     7.3500    3.228444E-02  5.546511E-02  2.765306E+01
     7.4000   -1.004208E-02  4.054096E-02  2.852464E+01
     7.4500   -4.154662E-02  4.329264E-02  2.956016E+01
     7.5000   -5.351493E-02  6.052938E-02  3.033133E+01
     7.5500   -4.142669E-02  8.219404E-02  3.088769E+01
     7.6000   -7.295803E-03  1.043128E-01  3.134593E+01
     7.6500    4.201401E-02  1.252437E-01  3.175802E+01
     7.7000    9.609136E-02  1.441792E-01  3.214539E+01
     7.7500    1.432950E-01  1.606285E-01  3.251787E+01
     7.8000    1.732789E-01  1.742630E-01  3.288040E+01
     7.8500    1.791667E-01  1.848624E-01  3.323560E+01
     7.9000    1.589082E-01  1.922951E-01  3.358488E+01
     7.9500    1.155533E-01  1.965093E-01  3.392890E+01
     8.0000    5.642215E-02  1.975298E-01  3.426785E+01
     8.0500   -8.686685E-03  1.949988E-01  3.460208E+01
     8.1000   -6.901551E-02  1.896047E-01  3.493007E+01
     8.1500   -1.160680E-01  1.816213E-01  3.525080E+01
     8.2000   -1.447048E-01  1.713960E-01  3.556272E+01
     8.2500   -1.538039E-01  1.593536E-01  3.586363E+01
     8.3000   -1.459691E-01  1.460047E-01  3.615040E+01
     8.3500   -1.264332E-01  1.319605E-01  3.641877E+01
     8.4000   -1.014838E-01  1.179568E-01  3.666316E+01
     8.4500   -7.683318E-02  1.048811E-01  3.687702E+01
     8.5000   -5.633474E-02  9.377488E-02  3.705468E+01
