 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe1 N1
 Reduced formula:  FeN
 space group: (F-43m), space number:  (216)
 abc:  2.968644   2.968645   2.968643
 angles: 59.999985  59.999973  59.999987
 sites: 2
 mp-6988
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.146 Rnm= 1.274 K  shell
 Pot 1 Z=26 Rmt= 1.149 Rnm= 1.281
 Pot 2 Z= 7 Rmt= 0.943 Rnm= 1.050
 Gam_ch=1.309E+00 H-L exch
 Mu=-2.963E+00 kf=2.438E+00 Vint=-2.562E+01 Rs_int= 1.487
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   74      icalc       2
 -----------------------------------------------------------------------
   4  48.000   5.8459    2.2252   -2.96319 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     2.5709   -1.8179   -1.4843  2   7 N
     4.2849   -2.4239   -1.4843  1  26 Fe
     0.8570    0.6060   -1.4843  2   7 N
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  2.7766E+00  3.8243E-06 -2.7355E+00  1.011E+00  2.8393E+01  2.4386E+00
  0.100  2.7760E+00  5.4469E-03 -3.8833E+00  1.011E+00  2.8415E+01  2.4405E+00
  0.200  2.7742E+00  1.0714E-02 -4.9909E+00  1.011E+00  2.8481E+01  2.4464E+00
  0.300  2.7712E+00  1.5632E-02 -6.0577E+00  1.011E+00  2.8584E+01  2.4562E+00
  0.400  2.7670E+00  2.0059E-02 -7.0843E+00  1.011E+00  2.8714E+01  2.4697E+00
  0.500  2.7616E+00  2.3880E-02 -8.0711E+00  1.011E+00  2.8857E+01  2.4871E+00
  0.600  2.7549E+00  2.7020E-02 -9.0188E+00  1.011E+00  2.8995E+01  2.5082E+00
  0.700  2.7470E+00  2.9436E-02 -9.9283E+00  1.011E+00  2.9109E+01  2.5329E+00
  0.800  2.7379E+00  3.1120E-02 -1.0800E+01  1.011E+00  2.9176E+01  2.5611E+00
  0.900  2.7276E+00  3.2095E-02 -1.1636E+01  1.012E+00  2.9175E+01  2.5928E+00
  1.000  2.7159E+00  3.2404E-02 -1.2436E+01  1.012E+00  2.9085E+01  2.6278E+00
  1.100  2.7029E+00  3.2107E-02 -1.3200E+01  1.013E+00  2.8887E+01  2.6660E+00
  1.200  2.6886E+00  3.1276E-02 -1.3931E+01  1.013E+00  2.8571E+01  2.7074E+00
  1.300  2.6728E+00  2.9986E-02 -1.4629E+01  1.014E+00  2.8128E+01  2.7519E+00
  1.400  2.6556E+00  2.8319E-02 -1.5293E+01  1.015E+00  2.7562E+01  2.7993E+00
  1.500  2.6368E+00  2.6351E-02 -1.5925E+01  1.017E+00  2.6881E+01  2.8497E+00
  1.600  2.6164E+00  2.4161E-02 -1.6524E+01  1.018E+00  2.6100E+01  2.9029E+00
  1.700  2.5942E+00  2.1820E-02 -1.7090E+01  1.020E+00  2.5240E+01  2.9588E+00
  1.800  2.5701E+00  1.9400E-02 -1.7623E+01  1.022E+00  2.4325E+01  3.0175E+00
  1.900  2.5439E+00  1.6970E-02 -1.8120E+01  1.024E+00  2.3381E+01  3.0789E+00
  2.000  2.5156E+00  1.4596E-02 -1.8579E+01  1.027E+00  2.2433E+01  3.1430E+00
  2.200  2.4515E+00  1.0287E-02 -1.9365E+01  1.033E+00  2.0619E+01  3.2793E+00
  2.400  2.3759E+00  7.0477E-03 -1.9930E+01  1.039E+00  1.9045E+01  3.4265E+00
  2.600  2.2895E+00  5.4439E-03 -2.0238E+01  1.046E+00  1.7839E+01  3.5852E+00
  2.800  2.1576E+00  5.1412E-03 -2.0317E+01  1.033E+00  1.7082E+01  3.7687E+00
  3.000  2.0558E+00  5.3850E-03 -2.0921E+01  1.151E+00  8.8291E+00  3.9353E+00
  3.200  2.0243E+00  7.4599E-03 -2.2131E+01  1.193E+00  7.3223E+00  4.0701E+00
  3.400  1.9897E+00  1.2197E-02 -2.3135E+01  1.215E+00  6.6260E+00  4.2066E+00
  3.600  1.9364E+00  1.8432E-02 -2.3910E+01  1.221E+00  6.2658E+00  4.3517E+00
  3.800  1.8749E+00  2.5163E-02 -2.4570E+01  1.221E+00  6.0862E+00  4.5018E+00
  4.000  1.8064E+00  3.1561E-02 -2.5157E+01  1.213E+00  6.0146E+00  4.6564E+00
  4.200  1.7321E+00  3.6991E-02 -2.5689E+01  1.203E+00  6.0145E+00  4.8152E+00
  4.400  1.6538E+00  4.1077E-02 -2.6180E+01  1.193E+00  6.0653E+00  4.9777E+00
  4.600  1.5729E+00  4.3518E-02 -2.6637E+01  1.179E+00  6.1542E+00  5.1435E+00
  4.800  1.4898E+00  4.4670E-02 -2.7069E+01  1.166E+00  6.2730E+00  5.3124E+00
  5.000  1.4055E+00  4.4800E-02 -2.7479E+01  1.153E+00  6.4162E+00  5.4840E+00
  5.200  1.3211E+00  4.4178E-02 -2.7866E+01  1.139E+00  6.5798E+00  5.6580E+00
  5.400  1.2363E+00  4.3039E-02 -2.8228E+01  1.127E+00  6.7608E+00  5.8342E+00
  5.600  1.1521E+00  4.1450E-02 -2.8568E+01  1.115E+00  6.9569E+00  6.0124E+00
  5.800  1.0686E+00  3.9546E-02 -2.8887E+01  1.104E+00  7.1666E+00  6.1923E+00
  6.000  9.8599E-01  3.7409E-02 -2.9185E+01  1.094E+00  7.3885E+00  6.3739E+00
  6.500  7.8334E-01  3.1439E-02 -2.9848E+01  1.071E+00  7.9897E+00  6.8337E+00
  7.000  5.8529E-01  2.5322E-02 -3.0412E+01  1.052E+00  8.6483E+00  7.3004E+00
  7.500  3.9180E-01  1.9758E-02 -3.0894E+01  1.036E+00  9.3565E+00  7.7726E+00
  8.000  2.0425E-01  1.5211E-02 -3.1308E+01  1.021E+00  1.0109E+01  8.2491E+00
  8.500  2.2723E-02  1.1845E-02 -3.1667E+01  1.006E+00  1.0901E+01  8.7290E+00
  9.000 -1.5416E-01  9.5326E-03 -3.1986E+01  9.910E-01  1.1731E+01  9.2117E+00
  9.500 -3.2588E-01  7.9456E-03 -3.2286E+01  9.790E-01  1.2597E+01  9.6967E+00
 10.000 -4.9303E-01  6.7605E-03 -3.2592E+01  9.690E-01  1.3495E+01  1.0184E+01
 11.000 -8.0893E-01  4.9601E-03 -3.3251E+01  9.554E-01  1.5386E+01  1.1162E+01
 12.000 -1.1020E+00  3.5268E-03 -3.3934E+01  9.467E-01  1.7395E+01  1.2144E+01
 13.000 -1.3702E+00  2.3726E-03 -3.4582E+01  9.420E-01  1.9516E+01  1.3130E+01
 14.000 -1.6190E+00  1.4817E-03 -3.5178E+01  9.394E-01  2.1743E+01  1.4118E+01
 15.000 -1.8510E+00  8.8880E-04 -3.5695E+01  9.379E-01  2.4071E+01  1.5109E+01
 16.000 -2.0650E+00  5.4285E-04 -3.6127E+01  9.376E-01  2.6496E+01  1.6100E+01
 17.000 -2.2648E+00  3.5356E-04 -3.6523E+01  9.378E-01  2.9015E+01  1.7093E+01
 18.000 -2.4518E+00  2.3759E-04 -3.6918E+01  9.382E-01  3.1626E+01  1.8087E+01
 19.000 -2.6258E+00  1.6054E-04 -3.7306E+01  9.387E-01  3.4324E+01  1.9081E+01
 20.000 -2.7895E+00  1.1369E-04 -3.7681E+01  9.391E-01  3.7108E+01  2.0076E+01
