 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe1 N1
 Reduced formula:  FeN
 space group: (F-43m), space number:  (216)
 abc:  2.968644   2.968645   2.968643
 angles: 59.999985  59.999973  59.999987
 sites: 2
 mp-6988
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.146 Rnm= 1.274 K  shell
 Pot 1 Z=26 Rmt= 1.149 Rnm= 1.281
 Pot 2 Z= 7 Rmt= 0.943 Rnm= 1.050
 Gam_ch=1.309E+00 H-L exch
 Mu=-2.963E+00 kf=2.438E+00 Vint=-2.562E+01 Rs_int= 1.487
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0088.dat 0.00000     5.127    48.000     4   5.8732
 feff0089.dat 0.00000     3.409    48.000     4   5.8732
 feff0090.dat 0.00000     3.065    48.000     4   5.8732
 feff0091.dat 0.00000     4.011    48.000     4   5.8732
 feff0092.dat 0.00000     6.240    48.000     4   5.8732
 feff0093.dat 0.00000    19.920    12.000     2   5.9373
 feff0094.dat 0.00000     7.290    12.000     3   5.9373
 feff0095.dat 0.00000    50.820    24.000     3   5.9373
 feff0096.dat 0.00000     8.704    12.000     4   5.9373
 feff0097.dat 0.00000     2.979    12.000     4   5.9373
 feff0099.dat 0.00000    37.250    12.000     4   5.9373
 feff0100.dat 0.00000     3.005    48.000     4   5.9373
 feff0101.dat 0.00000     8.774    72.000     3   5.9517
 feff0102.dat 0.00000    17.160    72.000     3   5.9517
 feff0103.dat 0.00000    18.560    72.000     3   5.9517
 feff0105.dat 0.00000     3.152    48.000     5   5.9517
 feff0106.dat 0.00000     4.897    48.000     5   5.9517
 feff0107.dat 0.00000     2.863    48.000     5   5.9517
 feff0109.dat 0.00000     3.543    48.000     5   5.9517
 feff0110.dat 0.00000     5.658    48.000     5   5.9517
